id,parent_id,kind,name,description,technology,loc_span,module_count,source_paths
s3ntinel,,software_system,S3NTINEL Architecture,"Architecture view of the active pipeline, simulation, core library, and architecture-tooling surfaces.",,54890,238,"libs/__init__.py,libs/anomaly/__init__.py,libs/anomaly/frames.py,libs/anomaly/pipeline.py,libs/anomaly/tables.py,libs/anomaly/validator.py,libs/architecture/__init__.py,libs/architecture/ai_review.py,libs/architecture/annotations.py,libs/architecture/extract.py,libs/architecture/model.py,libs/architecture/render.py,libs/backbone/__init__.py,libs/backbone/artifacts.py,libs/backbone/energy.py,libs/backbone/fit.py,libs/backbone/tables.py,libs/behavior/__init__.py,libs/behavior/accumulative.py,libs/behavior/base.py,libs/behavior/discrete_state.py,libs/behavior/inertial.py,libs/behavior/primitives.py,libs/behavior/registry.py,libs/behavior/regulated.py,libs/behavior/tick.py,libs/behavior/tracking.py,libs/behavior/utils.py,libs/behavior/validation.py,libs/common/__init__.py,libs/common/event_types.py,libs/common/parameter_datatypes.py,libs/common/spark_exprs.py,libs/config/__init__.py,libs/config/pipeline.py,libs/events/__init__.py,libs/events/calibration.py,libs/events/categorical.py,libs/events/continuous.py,libs/events/pipeline.py,libs/events/profiling.py,libs/events/tables.py,libs/events/types.py,libs/events/validator.py,libs/graph/__init__.py,libs/graph/data.py,libs/graph/evaluation.py,libs/graph/event.py,libs/graph/fused.py,libs/graph/hierarchy.py,libs/graph/hierarchy_artifacts.py,libs/graph/lag.py,libs/graph/pipeline.py,libs/graph/precision.py,libs/graph/tables.py,libs/graph/transition.py,libs/graph/validator.py,libs/io/__init__.py,libs/io/contracts.py,libs/io/delta.py,libs/io/pandas_spark.py,libs/io/schemas/__init__.py,libs/io/schemas/anomaly.py,libs/io/schemas/backbone.py,libs/io/schemas/events.py,libs/io/schemas/explorer.py,libs/io/schemas/graph.py,libs/io/schemas/phase.py,libs/io/schemas/profiling.py,libs/io/schemas/scoring.py,libs/io/schemas/telemetry.py,libs/io/schemas/windows.py,libs/io/transforms.py,libs/perf/__init__.py,libs/perf/annotations.py,libs/perf/logger.py,libs/perf/memory.py,libs/perf/mlflow.py,libs/perf/stage_manifest.py,libs/phase/__init__.py,libs/phase/analysis.py,libs/phase/artifacts.py,libs/phase/config_fit.py,libs/phase/decode.py,libs/phase/feature_config.py,libs/phase/fit.py,libs/phase/frames.py,libs/phase/pipeline.py,libs/phase/selectors.py,libs/phase/tables.py,libs/phase/types.py,libs/phase/utils.py,libs/phase/validator.py,libs/plotting/__init__.py,libs/plotting/explorer_bundle.py,libs/plotting/simulation_artifacts.py,libs/profiling/__init__.py,libs/profiling/pipeline.py,libs/profiling/profiles.py,libs/profiling/validator.py,libs/pyspark/__init__.py,libs/pyspark/frame.py,libs/pyspark/schema.py,libs/pyspark/table.py,libs/reporting/__init__.py,libs/reporting/frame.py,libs/scoring/__init__.py,libs/scoring/channels.py,libs/scoring/tables.py,libs/scoring/validator.py,libs/simulation/__init__.py,libs/simulation/aircraft/__init__.py,libs/simulation/aircraft/examples.py,libs/simulation/aircraft/runtime.py,libs/simulation/aircraft/spec.py,libs/simulation/cli.py,libs/simulation/coupling/__init__.py,libs/simulation/coupling/examples.py,libs/simulation/coupling/runtime.py,libs/simulation/coupling/spec.py,libs/simulation/event_truth.py,libs/simulation/fault/__init__.py,libs/simulation/fault/examples.py,libs/simulation/fault/runtime.py,libs/simulation/fault/spec.py,libs/simulation/fleet/__init__.py,libs/simulation/fleet/examples.py,libs/simulation/fleet/runtime.py,libs/simulation/flight/__init__.py,libs/simulation/flight/examples.py,libs/simulation/flight/runtime.py,libs/simulation/flight/spec.py,libs/simulation/full_run_report.py,libs/simulation/module/__init__.py,libs/simulation/module/examples.py,libs/simulation/module/runtime.py,libs/simulation/module/spec.py,libs/simulation/parameter/__init__.py,libs/simulation/parameter/examples.py,libs/simulation/parameter/runtime.py,libs/simulation/parameter/spec.py,libs/simulation/phase/__init__.py,libs/simulation/phase/catalog.py,libs/simulation/phase/examples.py,libs/simulation/phase/runtime.py,libs/simulation/phase/spec.py,libs/simulation/port/__init__.py,libs/simulation/port/examples.py,libs/simulation/port/runtime.py,libs/simulation/port/spec.py,libs/simulation/replay_report.py,libs/simulation/report_tables.py,libs/simulation/reporting.py,libs/simulation/run_bundle.py,libs/simulation/run_cli.py,libs/simulation/run_context.py,libs/simulation/runner.py,libs/simulation/scenarios/__init__.py,libs/simulation/scenarios/power_pressurization.py,libs/simulation/seed_bundle.py,libs/simulation/subsystem/__init__.py,libs/simulation/subsystem/examples.py,libs/simulation/subsystem/runtime.py,libs/simulation/subsystem/spec.py,libs/simulation/system/__init__.py,libs/simulation/system/examples.py,libs/simulation/system/runtime.py,libs/simulation/system/spec.py,libs/simulation/tail/__init__.py,libs/simulation/tail/examples.py,libs/simulation/tail/runtime.py,libs/simulation/validation_harness.py,libs/spark_sequence/__init__.py,libs/spark_sequence/plan.py,libs/testing/__init__.py,libs/testing/assertions.py,libs/testing/data.py,libs/testing/evaluation.py,libs/testing/seed.py,libs/tuning/__init__.py,libs/tuning/benchmark_execution.py,libs/tuning/benchmark_invocation.py,libs/tuning/benchmark_planning.py,libs/tuning/benchmark_reporting.py,libs/tuning/benchmark_runner.py,libs/tuning/benchmark_runtime.py,libs/tuning/benchmark_search.py,libs/tuning/benchmark_variants.py,libs/tuning/objectives.py,libs/tuning/presets.py,libs/tuning/reporting.py,libs/tuning/validation_panels.py,libs/windows/__init__.py,libs/windows/buffer.py,libs/windows/coverage.py,libs/windows/features.py,libs/windows/pipeline.py,libs/windows/policy_profile.py,libs/windows/tables.py,libs/windows/window.py,pipelines/00_ingest_raw.py,pipelines/10_parameter_profiles_fit.py,pipelines/12_behavior_profiles_fit.py,pipelines/15_event_profiles_fit.py,pipelines/20_events_extract.py,pipelines/25_window_policy_profile.py,pipelines/30_windows_adaptive.py,pipelines/40_backbone_fit.py,pipelines/50_build_graph.py,pipelines/60_fit_hierarchy.py,pipelines/70_phase_fit.py,pipelines/72_phase_label_centroids.py,pipelines/80_window_scores_raw.py,pipelines/85_window_scores_calibrate.py,pipelines/90_anomaly_attribution.py,pipelines/95_emit_explorer_bundle.py,pipelines/97_run_fitting_pipeline.py,pipelines/98_run_inference_pipeline.py,pipelines/99_run_full_pipeline.py,pipelines/__init__.py,pipelines/_pipeline_runner.py,pipelines/common.py,pipelines/plans.py,scripts/__init__.py,scripts/calibrate_continuous_events.py,scripts/evaluate_sim_event_labels.py,scripts/generate_sample_data.py,scripts/profile_pipeline_performance.py,scripts/report_sim_replay.py,scripts/run_partition_manifest_jobs.py,scripts/run_sim_pipeline.py,scripts/smoke_test_pipeline.py,scripts/sweep_smoke_graph_hierarchy.py,scripts/window_diagnostics.py,tools/__init__.py,tools/architecture_workflow.py,tools/module_deps.py,tools/repo_schematic.py"
engineer,,person,Engineer,"Runs simulation, fitting, inference, and architecture-generation workflows.",,0,0,
raw_telemetry_inputs,,external_system,Raw Telemetry Inputs,Real or simulated telemetry inputs consumed by the persisted pipeline.,,0,0,
mlflow_tracking,,external_system,MLflow Tracking,Optional experiment tracking and metrics sink used by pipeline and performance workflows.,,0,0,
persisted_artifacts,,data_store,Persisted Artifacts,"Parquet or Delta tables, reports, manifests, explorer bundles, and generated architecture docs.",,0,0,
pipeline_runtime,s3ntinel,container,Pipeline Runtime,Persisted stage entrypoints and grouped runners for the active fitting and inference path.,Python CLI + PySpark,3770,23,"pipelines/00_ingest_raw.py,pipelines/10_parameter_profiles_fit.py,pipelines/12_behavior_profiles_fit.py,pipelines/15_event_profiles_fit.py,pipelines/20_events_extract.py,pipelines/25_window_policy_profile.py,pipelines/30_windows_adaptive.py,pipelines/40_backbone_fit.py,pipelines/50_build_graph.py,pipelines/60_fit_hierarchy.py,pipelines/70_phase_fit.py,pipelines/72_phase_label_centroids.py,pipelines/80_window_scores_raw.py,pipelines/85_window_scores_calibrate.py,pipelines/90_anomaly_attribution.py,pipelines/95_emit_explorer_bundle.py,pipelines/97_run_fitting_pipeline.py,pipelines/98_run_inference_pipeline.py,pipelines/99_run_full_pipeline.py,pipelines/__init__.py,pipelines/_pipeline_runner.py,pipelines/common.py,pipelines/plans.py"
pipeline_runtime.grouped_runners,pipeline_runtime,component,Grouped Pipeline Runners,"Coordinates grouped fitting, inference, and end-to-end pipeline execution.",Python CLI,565,4,"pipelines/97_run_fitting_pipeline.py,pipelines/98_run_inference_pipeline.py,pipelines/99_run_full_pipeline.py,pipelines/_pipeline_runner.py"
pipeline_runtime.fitting_stages,pipeline_runtime,component,Fitting Stages,"Entry points for ingest, profiling, events, windows, backbone, graph, and hierarchy fitting.",Python CLI + PySpark,2066,10,"pipelines/00_ingest_raw.py,pipelines/10_parameter_profiles_fit.py,pipelines/12_behavior_profiles_fit.py,pipelines/15_event_profiles_fit.py,pipelines/20_events_extract.py,pipelines/25_window_policy_profile.py,pipelines/30_windows_adaptive.py,pipelines/40_backbone_fit.py,pipelines/50_build_graph.py,pipelines/60_fit_hierarchy.py"
pipeline_runtime.inference_stages,pipeline_runtime,component,Inference Stages,"Entry points for phase fitting, scoring, calibration, attribution, and explorer output.",Python CLI + PySpark,973,6,"pipelines/70_phase_fit.py,pipelines/72_phase_label_centroids.py,pipelines/80_window_scores_raw.py,pipelines/85_window_scores_calibrate.py,pipelines/90_anomaly_attribution.py,pipelines/95_emit_explorer_bundle.py"
pipeline_runtime.pipeline_common,pipeline_runtime,component,Pipeline Shared Runtime,Shared pipeline context and configuration assembly used by persisted stage entrypoints.,Python,123,2,"pipelines/__init__.py,pipelines/common.py"
